,innings1_runs,innings2_runs,Season,Innings1_BattingTeam,Innings2_BattingTeam,Venue
1304101,57,59,2022,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai"
1304100,47,39,2022,Royal Challengers Bangalore,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai"
1304099,66,25,2022,Lucknow Super Giants,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune"
1304098,48,67,2022,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai"
1304097,63,54,2022,Mumbai Indians,Gujarat Titans,"Brabourne Stadium, Mumbai"
1304096,50,35,2022,Delhi Capitals,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai"
1304095,57,51,2022,Royal Challengers Bangalore,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune"
1304094,42,43,2022,Gujarat Titans,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai"
1304093,38,32,2022,Rajasthan Royals,Kolkata Knight Riders,"Wankhede Stadium, Mumbai"
1304092,40,58,2022,Chennai Super Kings,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune"
1304091,57,66,2022,Lucknow Super Giants,Delhi Capitals,"Wankhede Stadium, Mumbai"
1304090,40,41,2022,Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai"
1304089,43,46,2022,Royal Challengers Bangalore,Gujarat Titans,"Brabourne Stadium, Mumbai"
1304088,39,46,2022,Lucknow Super Giants,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune"
1304087,29,47,2022,Kolkata Knight Riders,Delhi Capitals,"Wankhede Stadium, Mumbai"
1304086,53,59,2022,Sunrisers Hyderabad,Gujarat Titans,"Wankhede Stadium, Mumbai"
1304085,43,37,2022,Rajasthan Royals,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune"
1304084,37,32,2022,Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai"
1304083,32,43,2022,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai"
1304082,31,56,2022,Royal Challengers Bangalore,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai"
1304081,47,34,2022,Gujarat Titans,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai"
1304080,44,55,2022,Rajasthan Royals,Delhi Capitals,"Wankhede Stadium, Mumbai"
1304079,42,46,2022,Mumbai Indians,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai"
1304078,47,81,2022,Punjab Kings,Delhi Capitals,"Brabourne Stadium, Mumbai"
1304077,47,44,2022,Royal Challengers Bangalore,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai"
1304076,60,57,2022,Rajasthan Royals,Kolkata Knight Riders,"Brabourne Stadium, Mumbai"
1304075,39,37,2022,Chennai Super Kings,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune"
1304074,48,39,2022,Punjab Kings,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai"
1304073,40,57,2022,Royal Challengers Bangalore,Delhi Capitals,"Wankhede Stadium, Mumbai"
1304072,57,57,2022,Lucknow Super Giants,Mumbai Indians,"Brabourne Stadium, Mumbai"
1304071,38,46,2022,Kolkata Knight Riders,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai"
1304070,42,65,2022,Gujarat Titans,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai"
1304069,65,42,2022,Punjab Kings,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune"
1304068,35,42,2022,Chennai Super Kings,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai"
1304067,51,42,2022,Gujarat Titans,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai"
1304066,44,31,2022,Rajasthan Royals,Lucknow Super Giants,"Wankhede Stadium, Mumbai"
1304065,68,43,2022,Delhi Capitals,Kolkata Knight Riders,"Brabourne Stadium, Mumbai"
1304064,49,30,2022,Mumbai Indians,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune"
1304063,41,37,2022,Chennai Super Kings,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai"
1304062,43,53,2022,Punjab Kings,Gujarat Titans,"Brabourne Stadium, Mumbai"
1304061,52,48,2022,Delhi Capitals,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai"
1304060,35,35,2022,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune"
1304059,35,48,2022,Rajasthan Royals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
1304058,32,40,2022,Lucknow Super Giants,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai"
1304057,72,27,2022,Punjab Kings,Chennai Super Kings,"Brabourne Stadium, Mumbai"
1304056,44,43,2022,Gujarat Titans,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune"
1304055,48,50,2022,Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai"
1304054,62,51,2022,Punjab Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai"
1304053,73,55,2022,Chennai Super Kings,Lucknow Super Giants,"Brabourne Stadium, Mumbai"
1304052,44,36,2022,Kolkata Knight Riders,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai"
1304051,58,14,2022,Rajasthan Royals,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune"
1304050,32,44,2022,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai"
1304049,41,63,2022,Royal Challengers Bangalore,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai"
1304048,53,46,2022,Mumbai Indians,Delhi Capitals,"Brabourne Stadium, Mumbai"
1304047,35,43,2022,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai"
1254117,50,55,2021,Chennai Super Kings,Kolkata Knight Riders,Dubai International Cricket Stadium
1254116,38,51,2021,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium
1254115,53,48,2021,Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium
1254114,51,59,2021,Delhi Capitals,Chennai Super Kings,Dubai International Cricket Stadium
1254113,55,59,2021,Royal Challengers Bangalore,Chennai Super Kings,Dubai International Cricket Stadium
1254112,35,46,2021,Mumbai Indians,Delhi Capitals,"Zayed Cricket Stadium, Abu Dhabi"
1254111,57,49,2021,Rajasthan Royals,Punjab Kings,Sharjah Cricket Stadium
1254110,48,51,2021,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium
1254109,35,36,2021,Sunrisers Hyderabad,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi"
1254108,48,56,2021,Royal Challengers Bangalore,Mumbai Indians,Sharjah Cricket Stadium
1254107,29,20,2021,Punjab Kings,Sunrisers Hyderabad,Dubai International Cricket Stadium
1254106,34,17,2021,Kolkata Knight Riders,Rajasthan Royals,Sharjah Cricket Stadium
1254105,32,39,2021,Sunrisers Hyderabad,Delhi Capitals,Dubai International Cricket Stadium
1254104,24,41,2021,Chennai Super Kings,Mumbai Indians,Sharjah Cricket Stadium
1254103,56,54,2021,Rajasthan Royals,Royal Challengers Bangalore,"Zayed Cricket Stadium, Abu Dhabi"
1254102,48,46,2021,Kolkata Knight Riders,Punjab Kings,Dubai International Cricket Stadium
1254101,55,29,2021,Delhi Capitals,Royal Challengers Bangalore,Sharjah Cricket Stadium
1254100,49,63,2021,Rajasthan Royals,Sunrisers Hyderabad,Dubai International Cricket Stadium
1254099,38,30,2021,Punjab Kings,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi"
1254098,50,52,2021,Kolkata Knight Riders,Chennai Super Kings,Sharjah Cricket Stadium
1254097,36,21,2021,Delhi Capitals,Rajasthan Royals,Dubai International Cricket Stadium
