,innings1_runs,innings2_runs,Season,Innings1_BattingTeam,Innings2_BattingTeam,Venue
1136603,55,57,2018,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium
1136602,38,51,2018,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi"
1136601,47,47,2018,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata"
1136600,63,33,2018,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium
1136599,38,55,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
1136598,45,34,2018,Rajasthan Royals,Punjab Kings,Holkar Cricket Stadium
1136597,56,47,2018,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai"
1136596,60,61,2018,Delhi Capitals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
1136595,47,42,2018,Royal Challengers Bangalore,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune"
1136594,49,39,2018,Punjab Kings,Mumbai Indians,Holkar Cricket Stadium
1136593,57,56,2018,Chennai Super Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata"
1136592,62,79,2018,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi"
1136591,43,40,2018,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium
1136590,56,59,2018,Chennai Super Kings,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune"
1136589,40,51,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Sawai Mansingh Stadium
1136588,39,43,2018,Sunrisers Hyderabad,Rajasthan Royals,M Chinnaswamy Stadium
1136587,51,50,2018,Chennai Super Kings,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune"
1136586,57,51,2018,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi"
1136585,37,44,2018,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal"
1136584,52,55,2018,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium
1136583,51,22,2018,Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai"
1136582,51,48,2018,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi"
1136581,43,43,2018,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium
1136580,27,40,2018,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
1136579,28,43,2018,Delhi Capitals,Royal Challengers Bangalore,M Chinnaswamy Stadium
1136578,50,73,2018,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata"
1136577,69,35,2018,Chennai Super Kings,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune"
1136576,49,40,2018,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1136575,48,53,2018,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium
1136574,60,55,2018,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
1136573,50,56,2018,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata"
1136572,75,53,2018,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1136571,52,64,2018,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium
1136570,49,46,2018,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata"
1136569,84,53,2018,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai"
1136568,50,41,2018,Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium
1136567,54,56,2018,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
1136566,51,60,2018,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium
1136565,64,75,2018,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
1136564,48,57,2018,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
1136563,52,68,2018,Royal Challengers Bangalore,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1136562,45,73,2018,Delhi Capitals,Punjab Kings,"Eden Gardens, Kolkata"
1136561,39,42,2018,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai"
1082650,32,38,2017,Mumbai Indians,Pune Team,"Rajiv Gandhi International Stadium, Uppal"
1082649,25,36,2017,Kolkata Knight Riders,Mumbai Indians,M Chinnaswamy Stadium
1082648,30,48,2017,Sunrisers Hyderabad,Kolkata Knight Riders,M Chinnaswamy Stadium
1082647,33,42,2017,Pune Team,Mumbai Indians,"Wankhede Stadium, Mumbai"
1082646,37,42,2017,Royal Challengers Bangalore,Delhi Capitals,Feroz Shah Kotla
1082645,32,43,2017,Punjab Kings,Pune Team,"Maharashtra Cricket Association Stadium, Pune"
1082644,51,53,2017,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata"
1082643,61,47,2017,Gujarat Titans,Sunrisers Hyderabad,Green Park
1082642,54,53,2017,Delhi Capitals,Pune Team,Feroz Shah Kotla
1082641,71,68,2017,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai"
1082640,50,64,2017,Gujarat Titans,Delhi Capitals,Green Park
1082639,41,61,2017,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1082638,36,43,2017,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
1082637,44,58,2017,Punjab Kings,Gujarat Titans,M Chinnaswamy Stadium
1082636,40,105,2017,Royal Challengers Bangalore,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1082635,60,35,2017,Mumbai Indians,Delhi Capitals,Feroz Shah Kotla
1082634,35,47,2017,Pune Team,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
1082633,35,46,2017,Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium
1082632,58,63,2017,Gujarat Titans,Delhi Capitals,Feroz Shah Kotla
1082631,41,74,2017,Kolkata Knight Riders,Pune Team,"Eden Gardens, Kolkata"
1082630,66,62,2017,Sunrisers Hyderabad,Delhi Capitals,Feroz Shah Kotla
1082629,55,43,2017,Gujarat Titans,Pune Team,"Maharashtra Cricket Association Stadium, Pune"
1082628,52,55,2017,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai"
1082627,79,44,2017,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
1082626,25,50,2017,Delhi Capitals,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1082625,48,61,2017,Gujarat Titans,Mumbai Indians,Saurashtra Cricket Association Stadium
1082624,43,39,2017,Pune Team,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune"
1082623,60,59,2017,Sunrisers Hyderabad,Punjab Kings,"Eden Gardens, Kolkata"
1082622,53,47,2017,Delhi Capitals,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1082621,35,49,2017,Royal Challengers Bangalore,Gujarat Titans,M Chinnaswamy Stadium
1082620,57,45,2017,Pune Team,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune"
1082618,48,44,2017,Pune Team,Mumbai Indians,"Wankhede Stadium, Mumbai"
1082617,65,39,2017,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata"
1082616,50,50,2017,Punjab Kings,Gujarat Titans,Saurashtra Cricket Association Stadium
1082615,45,55,2017,Sunrisers Hyderabad,Pune Team,"Maharashtra Cricket Association Stadium, Pune"
1082614,48,23,2017,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai"
1082613,65,72,2017,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata"
1082612,46,82,2017,Punjab Kings,Mumbai Indians,Holkar Cricket Stadium
1082611,39,56,2017,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal"
1082610,45,57,2017,Royal Challengers Bangalore,Gujarat Titans,Saurashtra Cricket Association Stadium
1082609,29,51,2017,Sunrisers Hyderabad,Punjab Kings,Feroz Shah Kotla
1082608,53,49,2017,Delhi Capitals,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
1082607,55,42,2017,Pune Team,Royal Challengers Bangalore,M Chinnaswamy Stadium
1082606,46,56,2017,Gujarat Titans,Mumbai Indians,"Wankhede Stadium, Mumbai"
1082605,49,40,2017,Delhi Capitals,Punjab Kings,Feroz Shah Kotla
1082604,40,45,2017,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata"
1082603,64,61,2017,Pune Team,Gujarat Titans,Saurashtra Cricket Association Stadium
1082602,41,21,2017,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium
1082601,57,76,2017,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata"
1082600,34,61,2017,Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai"
1082599,62,50,2017,Delhi Capitals,Pune Team,"Maharashtra Cricket Association Stadium, Pune"
1082598,23,62,2017,Royal Challengers Bangalore,Punjab Kings,Holkar Cricket Stadium
1082597,59,49,2017,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai"
1082596,40,59,2017,Gujarat Titans,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
1082595,41,43,2017,Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium
1082594,35,56,2017,Pune Team,Punjab Kings,Holkar Cricket Stadium
1082593,52,73,2017,Gujarat Titans,Kolkata Knight Riders,Saurashtra Cricket Association Stadium
1082592,61,59,2017,Mumbai Indians,Pune Team,"Maharashtra Cricket Association Stadium, Pune"
1082591,59,54,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
981019,59,59,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium
981017,38,46,2016,Gujarat Titans,Sunrisers Hyderabad,Feroz Shah Kotla
981015,43,46,2016,Sunrisers Hyderabad,Kolkata Knight Riders,Feroz Shah Kotla
981013,23,31,2016,Gujarat Titans,Royal Challengers Bangalore,M Chinnaswamy Stadium
981011,43,49,2016,Delhi Capitals,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium
981009,48,48,2016,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata"
981007,49,70,2016,Mumbai Indians,Gujarat Titans,Green Park
981005,52,44,2016,Punjab Kings,Pune Team,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
981003,46,37,2016,Sunrisers Hyderabad,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium
981001,44,55,2016,Kolkata Knight Riders,Gujarat Titans,Green Park
980999,63,59,2016,Royal Challengers Bangalore,Punjab Kings,M Chinnaswamy Stadium
980997,28,44,2016,Delhi Capitals,Pune Team,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
980995,51,63,2016,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata"
980993,45,49,2016,Mumbai Indians,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali"
980991,47,55,2016,Punjab Kings,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
980989,37,66,2016,Pune Team,Kolkata Knight Riders,M Chinnaswamy Stadium
980987,42,41,2016,Royal Challengers Bangalore,Gujarat Titans,"Eden Gardens, Kolkata"
980985,21,32,2016,Mumbai Indians,Punjab Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
980983,51,50,2016,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal"
980981,25,39,2016,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium
980979,34,25,2016,Sunrisers Hyderabad,Pune Team,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
980977,56,50,2016,Royal Challengers Bangalore,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
980975,28,46,2016,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata"
980973,51,32,2016,Sunrisers Hyderabad,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
980971,45,51,2016,Punjab Kings,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali"
980969,60,46,2016,Pune Team,Royal Challengers Bangalore,M Chinnaswamy Stadium
980967,26,38,2016,Gujarat Titans,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
980965,48,50,2016,Delhi Capitals,Pune Team,Feroz Shah Kotla
980963,40,37,2016,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata"
980961,35,61,2016,Gujarat Titans,Delhi Capitals,Saurashtra Cricket Association Stadium
980959,40,37,2016,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium
980957,54,47,2016,Pune Team,Mumbai Indians,Saurashtra Cricket Association Stadium
980955,59,36,2016,Punjab Kings,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune"
980953,49,45,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Feroz Shah Kotla
980951,37,43,2016,Delhi Capitals,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
980949,48,72,2016,Pune Team,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune"
980947,59,64,2016,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai"
980945,71,22,2016,Gujarat Titans,Delhi Capitals,Feroz Shah Kotla
980943,27,46,2016,Sunrisers Hyderabad,Pune Team,"Rajiv Gandhi International Stadium, Uppal"
980941,39,40,2016,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
980939,31,59,2016,Pune Team,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune"
980937,50,72,2016,Royal Challengers Bangalore,Gujarat Titans,Saurashtra Cricket Association Stadium
980935,35,65,2016,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
980933,41,52,2016,Delhi Capitals,Mumbai Indians,Feroz Shah Kotla
980931,48,36,2016,Royal Challengers Bangalore,Pune Team,"Maharashtra Cricket Association Stadium, Pune"
980929,50,63,2016,Gujarat Titans,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium
980927,49,51,2016,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai"
980925,41,65,2016,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali"
980923,40,33,2016,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
980921,63,51,2016,Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium
980919,49,50,2016,Pune Team,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
980917,31,42,2016,Mumbai Indians,Gujarat Titans,"Wankhede Stadium, Mumbai"
980915,36,36,2016,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
980913,37,28,2016,Punjab Kings,Delhi Capitals,Feroz Shah Kotla
980911,57,62,2016,Pune Team,Gujarat Titans,Saurashtra Cricket Association Stadium
980909,40,53,2016,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata"
980907,49,56,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium
980905,52,57,2016,Punjab Kings,Gujarat Titans,"Punjab Cricket Association IS Bindra Stadium, Mohali"
980903,35,47,2016,Delhi Capitals,Kolkata Knight Riders,"Eden Gardens, Kolkata"
980901,37,57,2016,Mumbai Indians,Pune Team,"Wankhede Stadium, Mumbai"
829823,61,31,2015,Mumbai Indians,Chennai Super Kings,"Eden Gardens, Kolkata"
829821,29,34,2015,Royal Challengers Bangalore,Chennai Super Kings,JSCA International Stadium Complex
829819,41,40,2015,Royal Challengers Bangalore,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune"
829817,48,54,2015,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai"
829815,29,38,2015,Sunrisers Hyderabad,Mumbai Indians,M Chinnaswamy Stadium
829813,54,2,2015,Delhi Capitals,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
829811,66,53,2015,Rajasthan Royals,Kolkata Knight Riders,"Brabourne Stadium, Mumbai"
829809,41,47,2015,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
829807,68,83,2015,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
829805,46,50,2015,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai"
829803,72,61,2015,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
829801,16,28,2015,Chennai Super Kings,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium
829799,56,47,2015,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal"
829797,36,40,2015,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai"
829795,39,45,2015,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai"
829793,41,49,2015,Sunrisers Hyderabad,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium
829791,45,57,2015,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata"
829789,44,61,2015,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai"
829787,56,36,2015,Sunrisers Hyderabad,Rajasthan Royals,"Brabourne Stadium, Mumbai"
829785,68,34,2015,Royal Challengers Bangalore,Punjab Kings,"Eden Gardens, Kolkata"
829783,44,41,2015,Delhi Capitals,Mumbai Indians,M Chinnaswamy Stadium
829781,55,33,2015,Kolkata Knight Riders,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai"
829779,37,42,2015,Chennai Super Kings,Royal Challengers Bangalore,"Eden Gardens, Kolkata"
829777,43,55,2015,Rajasthan Royals,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai"
829775,51,45,2015,Mumbai Indians,Punjab Kings,"Punjab Cricket Association Stadium, Mohali"
829773,76,54,2015,Sunrisers Hyderabad,Chennai Super Kings,"Brabourne Stadium, Mumbai"
829771,61,62,2015,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium
829769,47,55,2015,Mumbai Indians,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
829767,27,41,2015,Punjab Kings,Delhi Capitals,"Wankhede Stadium, Mumbai"
829765,53,54,2015,Chennai Super Kings,Kolkata Knight Riders,Feroz Shah Kotla
829761,50,36,2015,Kolkata Knight Riders,Delhi Capitals,M Chinnaswamy Stadium
829759,56,36,2015,Sunrisers Hyderabad,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
829757,38,50,2015,Delhi Capitals,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
829753,54,39,2015,Chennai Super Kings,Punjab Kings,Feroz Shah Kotla
829751,46,52,2015,Mumbai Indians,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai"
829749,48,49,2015,Rajasthan Royals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
829747,45,48,2015,Delhi Capitals,Mumbai Indians,"Sardar Patel Stadium, Motera"
829745,45,38,2015,Chennai Super Kings,Royal Challengers Bangalore,Feroz Shah Kotla
829743,43,49,2015,Sunrisers Hyderabad,Kolkata Knight Riders,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
829741,43,40,2015,Rajasthan Royals,Punjab Kings,M Chinnaswamy Stadium
829739,34,48,2015,Delhi Capitals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera"
829737,48,33,2015,Mumbai Indians,Royal Challengers Bangalore,Feroz Shah Kotla
829735,39,47,2015,Chennai Super Kings,Rajasthan Royals,"Sardar Patel Stadium, Motera"
829733,48,53,2015,Punjab Kings,Kolkata Knight Riders,M Chinnaswamy Stadium
829731,40,50,2015,Delhi Capitals,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
829729,31,90,2015,Mumbai Indians,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune"
829727,35,36,2015,Sunrisers Hyderabad,Rajasthan Royals,"Wankhede Stadium, Mumbai"
829725,41,47,2015,Punjab Kings,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
829723,69,38,2015,Chennai Super Kings,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune"
829721,31,42,2015,Mumbai Indians,Rajasthan Royals,"Sardar Patel Stadium, Motera"
829719,47,65,2015,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium
829717,57,17,2015,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai"
829715,51,42,2015,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla
829713,53,41,2015,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata"
829711,49,46,2015,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai"
829709,35,51,2015,Rajasthan Royals,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune"
829707,59,40,2015,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai"
829705,37,38,2015,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata"
734049,32,59,2014,Punjab Kings,Kolkata Knight Riders,M Chinnaswamy Stadium
734047,70,100,2014,Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai"
734045,53,60,2014,Mumbai Indians,Chennai Super Kings,"Brabourne Stadium, Mumbai"
734043,55,46,2014,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata"
734041,35,71,2014,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai"
734039,44,48,2014,Delhi Capitals,Punjab Kings,"Punjab Cricket Association Stadium, Mohali"
734037,49,49,2014,Sunrisers Hyderabad,Kolkata Knight Riders,M Chinnaswamy Stadium
734035,34,64,2014,Royal Challengers Bangalore,Chennai Super Kings,"Eden Gardens, Kolkata"
734033,53,44,2014,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai"
734031,65,47,2014,Mumbai Indians,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali"
734029,60,64,2014,Chennai Super Kings,Sunrisers Hyderabad,"Eden Gardens, Kolkata"
734027,45,36,2014,Kolkata Knight Riders,Royal Challengers Bangalore,JSCA International Stadium Complex
734025,48,62,2014,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
734023,35,52,2014,Chennai Super Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata"
734021,25,51,2014,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
734019,55,66,2014,Delhi Capitals,Punjab Kings,Feroz Shah Kotla
734017,42,47,2014,Mumbai Indians,Rajasthan Royals,"Sardar Patel Stadium, Motera"
734015,41,30,2014,Sunrisers Hyderabad,Kolkata Knight Riders,JSCA International Stadium Complex
734013,39,17,2014,Chennai Super Kings,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
734011,52,34,2014,Rajasthan Royals,Delhi Capitals,"Sardar Patel Stadium, Motera"
734009,37,45,2014,Mumbai Indians,Kolkata Knight Riders,Barabati Stadium
734007,55,86,2014,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal"
734005,34,46,2014,Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium
734003,42,48,2014,Rajasthan Royals,Chennai Super Kings,JSCA International Stadium Complex
734001,43,38,2014,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal"
733999,31,45,2014,Royal Challengers Bangalore,Rajasthan Royals,Barabati Stadium
733997,49,55,2014,Punjab Kings,Kolkata Knight Riders,M Chinnaswamy Stadium
733995,42,38,2014,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai"
733993,52,44,2014,Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla
733991,64,34,2014,Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium
733989,50,37,2014,Sunrisers Hyderabad,Rajasthan Royals,"Sardar Patel Stadium, Motera"
733987,38,46,2014,Punjab Kings,Chennai Super Kings,Feroz Shah Kotla
733985,29,52,2014,Delhi Capitals,Kolkata Knight Riders,Barabati Stadium
733983,50,64,2014,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
733981,46,49,2014,Delhi Capitals,Chennai Super Kings,Feroz Shah Kotla
733979,50,50,2014,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera"
733977,47,36,2014,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium
733975,46,38,2014,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla
733973,36,49,2014,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai"
733971,43,39,2014,Chennai Super Kings,Kolkata Knight Riders,JSCA International Stadium Complex
729317,44,32,2014,Sunrisers Hyderabad,Mumbai Indians,Dubai International Cricket Stadium
729315,45,33,2014,Rajasthan Royals,Kolkata Knight Riders,Sheikh Zayed Stadium
729313,44,33,2014,Royal Challengers Bangalore,Punjab Kings,Dubai International Cricket Stadium
729311,37,47,2014,Sunrisers Hyderabad,Chennai Super Kings,Sharjah Cricket Stadium
729309,37,31,2014,Mumbai Indians,Delhi Capitals,Sharjah Cricket Stadium
729307,51,24,2014,Punjab Kings,Kolkata Knight Riders,Sheikh Zayed Stadium
729305,22,36,2014,Royal Challengers Bangalore,Rajasthan Royals,Sheikh Zayed Stadium
729303,31,51,2014,Mumbai Indians,Chennai Super Kings,Dubai International Cricket Stadium
729301,55,44,2014,Sunrisers Hyderabad,Delhi Capitals,Dubai International Cricket Stadium
729299,42,49,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Sharjah Cricket Stadium
729297,51,38,2014,Chennai Super Kings,Rajasthan Royals,Dubai International Cricket Stadium
729295,43,45,2014,Punjab Kings,Sunrisers Hyderabad,Sharjah Cricket Stadium
729293,34,24,2014,Chennai Super Kings,Delhi Capitals,Sheikh Zayed Stadium
729291,54,39,2014,Rajasthan Royals,Punjab Kings,Sharjah Cricket Stadium
729289,31,49,2014,Kolkata Knight Riders,Delhi Capitals,Dubai International Cricket Stadium
729287,49,30,2014,Mumbai Indians,Royal Challengers Bangalore,Dubai International Cricket Stadium
729285,41,30,2014,Sunrisers Hyderabad,Rajasthan Royals,Sheikh Zayed Stadium
729283,70,64,2014,Chennai Super Kings,Punjab Kings,Sheikh Zayed Stadium
729281,30,50,2014,Delhi Capitals,Royal Challengers Bangalore,Sharjah Cricket Stadium
729279,31,32,2014,Kolkata Knight Riders,Mumbai Indians,Sheikh Zayed Stadium
598073,34,35,2013,Mumbai Indians,Chennai Super Kings,"Eden Gardens, Kolkata"
598072,42,45,2013,Rajasthan Royals,Mumbai Indians,"Eden Gardens, Kolkata"
598071,27,44,2013,Sunrisers Hyderabad,Rajasthan Royals,Feroz Shah Kotla
598070,47,56,2013,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla
